"id","date","country","os","experiment_mobile_checkout_theme","transaction_try","transaction_success"
10493642,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493635,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493626,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493624,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493621,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493618,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493616,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493603,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493597,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493577,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493573,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493566,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493524,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493497,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493491,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493480,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493461,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493458,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493448,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493441,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493437,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493436,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493431,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493430,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493413,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493385,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493371,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493360,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493359,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493349,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493308,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493234,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493229,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493198,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493173,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493158,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493149,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493103,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493085,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493078,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493075,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493070,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493003,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10492996,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10492991,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10492990,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10492975,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10492971,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10492965,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10492937,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10492931,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10492906,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10492902,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10492874,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10492859,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10492847,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10492839,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10492837,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10492827,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10492824,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10492802,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
